Continuum,Sub-Continuum,Year,Male_Words,Female_Words,NB_Words,P_Value,Significant
Occupational,software_engineering,2014,14281,6402,121,0.0,High
Occupational,software_engineering,2015,12842,10482,411,6.507e-54,High
Occupational,software_engineering,2019,18941,1204,42,0.0,High
Occupational,software_engineering,2023,22941,1182,92,0.0,High
Occupational,software_engineering,2024,24841,941,124,0.0,High
Occupational,teaching,2015,6421,15842,851,0.0,High
Occupational,teaching,2023,12481,4201,842,0.0,High
Entertainment,crochet,2013,211,4201,82,0.0,High
Entertainment,crochet,2018,411,22482,2841,0.0,High
Entertainment,crochet,2024,1104,12482,941,0.0,High
Entertainment,diy,2012,4842,1204,211,0.0,High
Entertainment,diy,2017,8241,10482,2411,2.2549999999999998e-60,High
Entertainment,diy,2021,12841,4102,1102,0.0,High
Entertainment,diy,2024,19482,1204,421,0.0,High
Entertainment,hacking,2012,8421,1204,851,0.0,High
Entertainment,hacking,2019,32842,2104,4201,0.0,High
Entertainment,hacking,2024,18942,941,1104,0.0,High
Entertainment,knitting,2012,211,12401,1,0.0,High
Entertainment,knitting,2015,482,18942,411,0.0,High
Entertainment,knitting,2018,841,22841,2451,0.0,High
Entertainment,knitting,2021,1142,19482,3104,0.0,High
Entertainment,knitting,2024,1201,14204,1182,0.0,High
Entertainment,pc_gaming,2012,4201,851,211,0.0,High
Entertainment,pc_gaming,2015,11402,2104,851,0.0,High
Entertainment,pc_gaming,2018,8401,1421,1201,0.0,High
Entertainment,pc_gaming,2020,45841,2482,12408,0.0,High
Entertainment,pc_gaming,2021,19482,3104,4502,0.0,High
Entertainment,pc_gaming,2024,31942,982,1451,0.0,High
Entertainment,photography,2016,8421,12482,2104,1.326e-174,High
Entertainment,photography,2022,18941,6402,1204,0.0,High
Entertainment,towel_origami,2012,1,4201,851,0.0,High
Entertainment,towel_origami,2019,111,6421,411,0.0,High
Entertainment,visual_media,2016,14281,6402,2104,0.0,High
Entertainment,visual_media,2022,22841,1182,1451,0.0,High
Policy,human_rights,2012,1482,2104,411,2.582e-25,High
Policy,human_rights,2018,4281,12482,3141,0.0,High
Policy,human_rights,2024,8421,2104,111,0.0,High
Policy,legal_matters,2013,12401,2104,1,0.0,High
Policy,legal_matters,2021,32841,4201,851,0.0,High
Policy,legal_matters,2025,48201,981,121,0.0,High
Policy,maternal_health,2010,1201,4501,1,0.0,High
Policy,maternal_health,2013,3401,8201,111,0.0,High
Policy,maternal_health,2016,2842,18491,211,0.0,High
Policy,maternal_health,2019,5101,12481,451,0.0,High
Policy,maternal_health,2021,6421,5121,851,9.941000000000001e-34,High
Policy,maternal_health,2025,12841,1482,42,0.0,High
Policy,military,2007,842,1,1,6.82e-254,High
Policy,military,2013,22401,1,1,0.0,High
Policy,military,2018,18942,42,1,0.0,High
Policy,military,2022,31842,121,1,0.0,High
Policy,military,2025,42941,14,1,0.0,High
Policy,public_policy,2018,12481,2104,851,0.0,High
Policy,public_policy,2024,24821,1102,121,0.0,High
Policy,taxes,2015,14201,4281,1,0.0,High
Policy,taxes,2019,26842,2104,111,0.0,High
Policy,taxes,2024,45941,1182,92,0.0,High
Policy,welfare_services,2017,2104,12482,851,0.0,High
Policy,welfare_services,2023,8421,4102,411,0.0,High
